name,subprogram,srb_num,test_method,export_test_method,combined_values,expected_value
SUT_Crypto_0013,AhsmAesCbc,SRB_Crypto_043、SRB_Crypto_044、SRB_Crypto_045,Fault_Injection_Test,Generation_Analysis_Of_Equivalence_Classes,"Crypto_Drv_PriParaCheck.RetVal[0]:0x37
Crypto_Drv_PriRetCheck.return:0x37
AhsmAesCbc.nEncFlag:2
AhsmAesCbc.nKeyLen:0
AhsmAesCbc.ucKey:<<null>>
AhsmAesCbc.ucIv:<<null>>
AhsmAesCbc.nDataLen:0
AhsmAesCbc.ucData:<<null>>
AhsmAesCbc.pnOutLen:<<null>>
AhsmAesCbc.ucOutData:<<null>>
AhsmAesCbc.return:0x37
",return:0x37
SUT_Crypto_0014,AhsmAesCbc,SRB_Crypto_043、SRB_Crypto_044、SRB_Crypto_045,Fault_Injection_Test,Generation_Analysis_Of_Equivalence_Classes,"Crypto_Drv_PriParaCheck.RetVal[0]:0x31
Crypto_Drv_PriRetCheck.return:0x31
AhsmAesCbc.nEncFlag:0
AhsmAesCbc.nKeyLen:16
AhsmAesCbc.ucKey:<<null>>
AhsmAesCbc.ucIv:<<null>>
AhsmAesCbc.nDataLen:31
AhsmAesCbc.ucData:<<malloc 1>>
AhsmAesCbc.pnOutLen:<<null>>
AhsmAesCbc.ucOutData:<<malloc 1>>
AhsmAesCbc.return:0x31
",return:0x31
SUT_Crypto_0015,AhsmAesCbc,SRB_Crypto_043、SRB_Crypto_044、SRB_Crypto_045,Fault_Injection_Test,Generation_Analysis_Of_Equivalence_Classes,"Crypto_Drv_PriParaCheck.RetVal[0]:0x31
Crypto_Drv_PriRetCheck.return:0x31
AhsmAesCbc.nEncFlag:1
AhsmAesCbc.nKeyLen:24
AhsmAesCbc.ucKey:<<malloc 1>>
AhsmAesCbc.ucIv:<<null>>
AhsmAesCbc.nDataLen:132000
AhsmAesCbc.ucData:<<malloc 1>>
AhsmAesCbc.pnOutLen:<<malloc 1>>
AhsmAesCbc.ucOutData:<<malloc 1>>
AhsmAesCbc.return:0x31
",return:0x31
SUT_Crypto_0016,AhsmAesCbc,SRB_Crypto_043、SRB_Crypto_046、SRB_Crypto_047、SRB_Crypto_048,Requirements_based_testing,Demand_Analysis,"Crypto_Drv_PriParaCheck.RetVal[0]:0x0
Crypto_Drv_PriRetCheck.return:0x0
AhsmAesCbc.nEncFlag:1
AhsmAesCbc.nKeyLen:32
AhsmAesCbc.ucKey:<<malloc 1>>
AhsmAesCbc.ucIv:<<malloc 1>>
AhsmAesCbc.nDataLen:512
AhsmAesCbc.ucData:<<malloc 1>>
AhsmAesCbc.pnOutLen:<<malloc 1>>
AhsmAesCbc.ucOutData:<<malloc 1>>
AhsmAesCbc.return:0x0
",return:0x0
SUT_Crypto_0017,AhsmAesCbc,SRB_Crypto_043、SRB_Crypto_046、SRB_Crypto_047、SRB_Crypto_048,Requirements_based_testing,Demand_Analysis,"Crypto_Drv_PriParaCheck.RetVal[0]:0x0
Crypto_Drv_PriRetCheck.return:0x0
AhsmAesCbc.nEncFlag:1
AhsmAesCbc.nKeyLen:32
AhsmAesCbc.ucKey:<<malloc 1>>
AhsmAesCbc.ucIv:<<malloc 1>>
AhsmAesCbc.nDataLen:32
AhsmAesCbc.ucData:<<malloc 1>>
AhsmAesCbc.pnOutLen:<<malloc 1>>
AhsmAesCbc.ucOutData:<<malloc 1>>
AhsmAesCbc.return:0x0
AhsmSendRecvMsg.return:0
",return:0x0
SUT_Crypto_0018,AhsmAesCbc,SRB_Crypto_043、SRB_Crypto_046、SRB_Crypto_047、SRB_Crypto_048,Requirements_based_testing,Demand_Analysis,"Crypto_Drv_PriParaCheck.RetVal[0]:0x0
Crypto_Drv_PriRetCheck.return:0x0
AhsmAesCbc.nEncFlag:1
AhsmAesCbc.nKeyLen:32
AhsmAesCbc.ucKey:<<malloc 1>>
AhsmAesCbc.ucIv:<<malloc 1>>
AhsmAesCbc.nDataLen:512
AhsmAesCbc.ucData:<<malloc 1>>
AhsmAesCbc.pnOutLen:<<malloc 1>>
AhsmAesCbc.ucOutData:<<malloc 1>>
AhsmAesCbc.return:0x0
AhsmSendRecvMsg.return:0
",return:0x0
SUT_Crypto_0019,AhsmAesCbcIndex,SRB_Crypto_049、SRB_Crypto_050、SRB_Crypto_051、SRB_Crypto_052、SRB_Crypto_053,Fault_Injection_Test,Generation_Analysis_Of_Equivalence_Classes,"Crypto_Drv_PriParaCheck.RetVal[0]:0x37
Crypto_Drv_PriRetCheck.return:0x37
AhsmAesCbcIndex.nEncFlag:2
AhsmAesCbcIndex.nKeyIndex:0
AhsmAesCbcIndex.ucIv:<<null>>
AhsmAesCbcIndex.nDataLen:0
AhsmAesCbcIndex.ucData:<<null>>
AhsmAesCbcIndex.pnOutLen:<<null>>
AhsmAesCbcIndex.ucOutData:<<null>>
AhsmAesCbcIndex.return:0x37
",return:0x37
SUT_Crypto_0020,AhsmAesCbcIndex,SRB_Crypto_049、SRB_Crypto_050、SRB_Crypto_051、SRB_Crypto_052、SRB_Crypto_053,Fault_Injection_Test,Generation_Analysis_Of_Equivalence_Classes,"Crypto_Drv_PriParaCheck.RetVal[0]:0x3A
Crypto_Drv_PriRetCheck.return:0x3A
AhsmAesCbcIndex.nEncFlag:0
AhsmAesCbcIndex.nKeyIndex:0xFF
AhsmAesCbcIndex.ucIv:<<null>>
AhsmAesCbcIndex.nDataLen:31
AhsmAesCbcIndex.ucData:<<malloc 1>>
AhsmAesCbcIndex.pnOutLen:<<null>>
AhsmAesCbcIndex.ucOutData:<<malloc 1>>
AhsmAesCbcIndex.return:0x3A
",return:0x3A
SUT_Crypto_0021,AhsmAesCbcIndex,SRB_Crypto_049、SRB_Crypto_050、SRB_Crypto_051、SRB_Crypto_052、SRB_Crypto_053,Fault_Injection_Test,Generation_Analysis_Of_Equivalence_Classes,"Crypto_Drv_PriParaCheck.RetVal[0]:0x31
Crypto_Drv_PriRetCheck.return:0x31
AhsmAesCbcIndex.nEncFlag:1
AhsmAesCbcIndex.nKeyIndex:0x0
AhsmAesCbcIndex.ucIv:<<null>>
AhsmAesCbcIndex.nDataLen:132000
AhsmAesCbcIndex.ucData:<<malloc 1>>
AhsmAesCbcIndex.pnOutLen:<<malloc 1>>
AhsmAesCbcIndex.ucOutData:<<malloc 1>>
AhsmAesCbcIndex.return:0x31
",return:0x31
SUT_Crypto_0022,AhsmAesCbcIndex,SRB_Crypto_049、SRB_Crypto_054、SRB_Crypto_055、SRB_Crypto_056,Requirements_based_testing,Demand_Analysis,"Crypto_Drv_PriParaCheck.RetVal[0]:0x0
Crypto_Drv_PriRetCheck.return:0x0
AhsmAesCbcIndex.nEncFlag:1
AhsmAesCbcIndex.nKeyIndex:0x0
AhsmAesCbcIndex.ucIv:<<malloc 1>>
AhsmAesCbcIndex.nDataLen:512
AhsmAesCbcIndex.ucData:<<malloc 1>>
AhsmAesCbcIndex.pnOutLen:<<malloc 1>>
AhsmAesCbcIndex.ucOutData:<<malloc 1>>
AhsmAesCbcIndex.return:0x0
",return:0x0
